"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0R570","2020-02-12 00:00:00","37.000","53.000","1.900","19.600","0.820","1015.200","","0.000","-99.000","-99.000","-99.000","23.400","","17.100",""
"C0O900","2020-02-12 00:00:00","9.000","344.000","0.600","18.400","0.990","1020.200","","0.000","-99.000","-99.000","-99.000","21.900","","16.700",""
"C0AD00","2020-02-12 00:00:00","86.000","192.000","1.000","16.500","0.930","1011.000","","0.000","-99.000","-99.000","-99.000","20.800","","16.200",""
"C0V700","2020-02-12 00:00:00","24.000","0.000","0.000","21.100","0.740","1017.000","","0.000","-99.000","-99.000","-99.000","23.300","","19.000",""
"C0AH00","2020-02-12 00:00:00","38.000","0.000","0.000","17.100","0.960","1016.200","","0.000","-99.000","-99.000","-99.000","22.800","","14.300",""
"C0X080","2020-02-12 00:00:00","2.000","84.000","1.200","16.800","0.990","1020.400","","0.000","-99.000","-99.000","-99.000","22.000","","15.300",""
"C0G910","2020-02-12 00:00:00","42.000","0.000","0.000","17.700","0.930","1016.700","","0.000","-99.000","-99.000","-99.000","21.600","","16.000",""
"C0I480","2020-02-12 00:00:00","2165.000","277.000","1.000","6.700","0.890","792.800","","0.000","-99.000","-99.000","-99.000","12.400","","5.500",""
"C0A860","2020-02-12 00:00:00","362.000","216.000","2.000","15.500","0.880","978.700","","0.000","-99.000","-99.000","-99.000","21.400","","13.100",""
"C0U940","2020-02-12 00:00:00","25.000","253.000","1.400","16.700","0.880","1019.800","","0.000","-99.000","-99.000","-99.000","23.100","","13.500",""
"C0S970","2020-02-12 00:00:00","19.000","298.000","1.300","20.800","0.680","1020.600","","0.000","-99.000","-99.000","-99.000","22.500","","18.400",""
"C0V260","2020-02-12 00:00:00","126.000","167.000","0.400","17.500","0.980","1006.500","","0.000","-99.000","-99.000","-99.000","22.900","","17.000",""
"C0H990","2020-02-12 00:00:00","3076.000","211.000","5.900","4.600","0.680","708.800","","0.000","-99.000","-99.000","-99.000","8.000","","3.300",""
"C0F9K0","2020-02-12 00:00:00","30.000","71.000","0.900","17.000","0.920","1015.900","","0.000","-99.000","-99.000","-99.000","19.200","","16.600",""
"C0AH90","2020-02-12 00:00:00","660.000","0.000","0.000","9.700","0.990","949.500","","0.000","-99.000","-99.000","-99.000","17.600","","6.400",""
"C0W150","2020-02-12 00:00:00","42.000","0.000","0.000","16.000","0.840","1016.700","","0.000","-99.000","-99.000","-99.000","18.700","","14.700",""
"C0F000","2020-02-12 00:00:00","273.000","0.000","0.000","17.300","0.990","986.600","","0.000","-99.000","-99.000","-99.000","20.400","","14.200",""
"C0K410","2020-02-12 00:00:00","20.000","319.000","0.500","17.300","0.890","1017.300","","0.000","-99.000","-99.000","-99.000","21.500","","15.600",""
"C0R140","2020-02-12 00:00:00","740.000","306.000","1.900","15.100","0.760","939.000","","0.000","-99.000","-99.000","-99.000","18.100","","12.600",""
